Indication_ID,Indication_Name,Slug
1285,Ocular hypertension,ocular-hypertension-3007
1286,Ocular infections,ocular-infections-4110
1287,Ocular inflammation,ocular-inflammation-3008
1288,Ocular pain,ocular-pain-3009
1289,Ocular pain and inflammation,ocular-pain-and-inflammation-4111
1290,Oedema,oedema-3010
1291,Oesophageal cancer,oesophageal-cancer-3011
1292,Oesophageal carcinoma,oesophageal-carcinoma-3886
1293,Oesophagitis,oesophagitis-3012
1294,Oestrogen deficiency,oestrogen-deficiency-3013
1295,Oliguric phase of renal failure,oliguric-phase-of-renal-failure-3014
1296,Onchocerciasis,onchocerciasis-3015
1297,Onychomycosis,onychomycosis-3016
1298,Open angle glaucoma,open-angle-glaucoma-3018
1299,Open heart surgery,open-heart-surgery-3017
1300,Ophthalmic surgery,ophthalmic-surgery-3019
1301,Opioid dependence,opioid-dependence-3020
1302,Opioid induced depression,opioid-induced-depression-3022
1303,Opioid overdosage,opioid-overdosage-3021
1304,Optic neuritis,optic-neuritis-3023
1305,Oral candidiasis or thrush,oral-candidiasis-or-thrush-3024
1306,Oral contraceptives,oral-contraceptives-3025
1307,Oral hygiene,oral-hygiene-3026
1308,Organ transplantation,organ-transplantation-3027
1309,Organic brain syndrome (OBS),organic-brain-syndrome-obs-3844
1310,Organophosphorous poisoning,organophosphorous-poisoning-3028
1311,Oropharyngeal candidiasis/Thrush,oropharyngeal-candidiasisthrush-3029
1312,Orthopedics Surgery,orthopedics-surgery-3030
1313,Osmotic laxative,osmotic-laxative-3031
1314,Osmotic purgative,osmotic-purgative-3032
1315,Osteoarthritis (degenerative arthritis),osteoarthritis-degenerative-arthritis-3033
1316,Osteocalcaemia,osteocalcaemia-3035
1317,Osteogenic sarcoma,osteogenic-sarcoma-3036
1318,Osteomalacia,osteomalacia-3037
1319,Osteomyelitis,osteomyelitis-3038
1320,Osteopetrosis or stone bone,osteopetrosis-or-stone-bone-3039
1321,Osteoporosis,osteoporosis-3040
1322,Otic infections,otic-infections-3041
1323,Otic inflammation,otic-inflammation-3042
1324,Otitis externa,otitis-externa-3043
1325,Otitis media,otitis-media-3044
1326,Ovarian cancer,ovarian-cancer-3046
1327,Ovarian failure,ovarian-failure-3047
1328,Ovarian hyperstimulation syndrome,ovarian-hyperstimulation-syndrome-3045
1329,Overactive bladder,overactive-bladder-3050
1330,Over-anticoagulation,over-anticoagulation-3049
1331,Ovulation induction,ovulation-induction-3051
1332,Pagetâ€™s disease of bone,pagets-disease-of-bone-3052
1333,Pain,pain-3053
1334,Pain and fever,pain-and-fever-3054
1335,Pain and inflammation,pain-and-inflammation-3055
1336,Pain and inflammation associated with musculoskeletal and joint disorders,pain-and-inflammation-associated-with-musculoskeletal-and-joint-disorders-3056
1337,Pain and itching caused by sunburn,pain-and-itching-caused-by-sunburn-3057
1338,Pain and joint stiffness,pain-and-joint-stiffness-3058
1339,Pain associated with myocardial infarction,pain-associated-with-myocardial-infarction-3059
1340,Pain or irritation of the mouth and throat,pain-or-irritation-of-the-mouth-and-throat-3060
1341,Pain or swelling of the cornea,pain-or-swelling-of-the-cornea-3061
1342,Painful bladder syndrome,painful-bladder-syndrome-3062
1343,Painful muscle spasm,painful-muscle-spasm-3063
1344,Palliative treatment of endometrial and renal carcinoma,palliative-treatment-of-endometrial-and-renal-carcinoma-3914
1345,Palliative treatment of prostatic carcinoma,palliative-treatment-of-prostatic-carcinoma-3913
1346,Pancreatic cancer,pancreatic-cancer-3064
1347,Pancreatic insufficiency,pancreatic-insufficiency-3065
1348,Pancreatitis,pancreatitis-3066
1349,Panic attack,panic-attack-3067
1350,Panic disorder,panic-disorder-3068
1351,Papillitis,papillitis-4178
1352,Paracetamol poisoning,paracetamol-poisoning-3069
1353,Paralytic ileus,paralytic-ileus-3070
1354,Paralytic ileus and post-operative urinary retention,paralytic-ileus-and-post-operative-urinary-retention-3071
1355,Parasomnia,parasomnia-3072
1356,Parathyroid carcinoma,parathyroid-carcinoma-3073
1357,Paratyphoid fever,paratyphoid-fever-3074
1358,Parenteral fat emulsions,parenteral-fat-emulsions-3076
1359,Parenteral nutrition,parenteral-nutrition-3077
1360,Parenteral nutrition & hydration,parenteral-nutrition-hydration-3075
1361,Parkinsonâ€™s disease,parkinsons-disease-3078
1362,Parkinsonism,parkinsonism-3079
1363,Paronychia,paronychia-4020
1364,Paroxysmal supraventricular tachycardia,paroxysmal-supraventricular-tachycardia-3080
1365,Partial seizures,partial-seizures-3081
1366,Passive immunisation against tetanus,passive-immunisation-against-tetanus-4040
1367,Passive immunity in the prevention & treatment of tetanus,passive-immunity-in-the-prevention-treatment-of-tetanus-4051
1368,Patent ductus arteriosus,patent-ductus-arteriosus-3082
1369,Patients with Acute Myeloid Leukemia receiving induction or consolidation chemotherapy,patients-with-acute-myeloid-leukemia-receiving-induction-or-consolidation-chemotherapy-3843
1370,Pediatric eye examinations,pediatric-eye-examinations-3083
1371,Pediculosis capitis,pediculosis-capitis-3084
1372,Pediculosis pubis,pediculosis-pubis-3085
1373,Pelvic cellulitis,pelvic-cellulitis-3086
1374,Pelvic Inflammatory Disease (PID),pelvic-inflammatory-disease-pid-3654
1375,Peptic ulcer disease,peptic-ulcer-disease-3088
1376,Percutaneous coronary intervention (PCI),percutaneous-coronary-intervention-pci-3820
1377,Percutaneous transluminal coronary angioplasty (PTCA),percutaneous-transluminal-coronary-angioplasty-ptca-3903
1378,Perennial or seasonal allergic rhinitis,perennial-or-seasonal-allergic-rhinitis-3089
1379,Perianal pain and itching,perianal-pain-and-itching-3091
1380,Perianitis,perianitis-4176
1381,Pericarditis,pericarditis-3092
1382,Perinatal Exposure of Infants Born to HBsAg-positive Mothers,perinatal-exposure-of-infants-born-to-hbsag-positive-mothers-4163
1383,Periodontal Disease,periodontal-disease-3765
1384,Periodontitis,periodontitis-3093
1385,Periods of rapid growth childhood,periods-of-rapid-growth-childhood-3094
1386,Peripheral arterial embolism,peripheral-arterial-embolism-3096
1387,Peripheral blood progenitor cell collection and therapy,peripheral-blood-progenitor-cell-collection-and-therapy-3841
1388,Peripheral nerve block,peripheral-nerve-block-3097
1389,Peripheral neuralgias: Diabetic neuropathy,peripheral-neuralgias-diabetic-neuropathy-3098
1390,Peripheral neuritis,peripheral-neuritis-3702
1391,Peripheral neuropathy,peripheral-neuropathy-3099
1392,Peripheral vascular disease,peripheral-vascular-disease-3100
1393,Peripheral venography,peripheral-venography-4157
