Indication_ID,Indication_Name,Slug
1617,Repairs; restores & protects dry skin & sensitive skin conditions,repairs-restores-protects-dry-skin-sensitive-skin-conditions-3719
1618,Replacement therapy in adrenocortical insufficiency,replacement-therapy-in-adrenocortical-insufficiency-3891
1619,Reproductive tract infection and skin infections,reproductive-tract-infection-and-skin-infections-3269
1620,Resistant depression,resistant-depression-3744
1621,Respiratory Distress Syndrome (RDS) in premature infants.,respiratory-distress-syndrome-rds-in-premature-infants-3975
1622,Respiratory tract infections,respiratory-tract-infections-3270
1623,Restless leg syndrome,restless-leg-syndrome-3271
1624,Restlessness,restlessness-3733
1625,Resuscitation,resuscitation-3272
1626,Retinal hemorrhage,retinal-hemorrhage-3273
1627,Retinal photography,retinal-photography-3274
1628,Retinoblastoma,retinoblastoma-3275
1629,Reversal of neuromuscular blockade,reversal-of-neuromuscular-blockade-3276
1630,Reverse residual neuromuscular blockade,reverse-residual-neuromuscular-blockade-3869
1631,Rhesus disease,rhesus-disease-3277
1632,Rheumatic disorders,rheumatic-disorders-3278
1633,Rheumatic fever,rheumatic-fever-3279
1634,Rheumatic pain,rheumatic-pain-3280
1635,Rheumatism strains,rheumatism-strains-3281
1636,Rheumatoid arthritis,rheumatoid-arthritis-3282
1637,Rhinitis,rhinitis-3283
1638,Rhinorrhoea,rhinorrhoea-3284
1639,Riboflavin deficiency,riboflavin-deficiency-3285
1640,Rickets,rickets-3286
1641,Rigidity,rigidity-3288
1642,Rocky mountain spotted fever,rocky-mountain-spotted-fever-3289
1643,Root canal operation,root-canal-operation-4043
1644,Rosacea,rosacea-3290
1645,Rosacea melasma,rosacea-melasma-3291
1646,Rotavirus diarrhea,rotavirus-diarrhea-3292
1647,Rough & defective voice,rough-defective-voice-4209
1648,Rough skin,rough-skin-3293
1649,Roughness and fine wrinkling of photodamaged skin,roughness-and-fine-wrinkling-of-photodamaged-skin-3294
1650,Rrinkles,rrinkles-3794
1651,Rubella,rubella-3295
1652,Runny nose,runny-nose-3296
1653,Salmonellosis,salmonellosis-3298
1654,Salt losing adrenogenital syndrome,salt-losing-adrenogenital-syndrome-4147
1655,Sarcoma,sarcoma-3299
1656,Scabies,scabies-3300
1657,Scaling skin conditions,scaling-skin-conditions-3302
1658,Scalp and non-scalp psoriasis,scalp-and-non-scalp-psoriasis-3303
1659,Scalp disorders,scalp-disorders-3304
1660,Scalp psoriasis,scalp-psoriasis-3305
1661,Scaly or itchy scalps,scaly-or-itchy-scalps-3306
1662,Scaly skin disease,scaly-skin-disease-3307
1663,Scborrhea,scborrhea-3735
1664,Scedosporiosis and fusariosis,scedosporiosis-and-fusariosis-3308
1665,Schistosomiasis,schistosomiasis-3309
1666,Schizoaffective Disorder,schizoaffective-disorder-4129
1667,Schizophrenia,schizophrenia-3310
1668,Scleritis,scleritis-3311
1669,Scrapes,scrapes-3312
1670,Scratches,scratches-3313
1671,Scrub typhus,scrub-typhus-3314
1672,Scurvy,scurvy-3315
1673,Seasonal allergic rhinitis,seasonal-allergic-rhinitis-4120
1674,Seborrhea,seborrhea-3736
1675,Seborrheic dermatitis of the scalp,seborrheic-dermatitis-of-the-scalp-3316
1676,Seborrhoeic dermatitis,seborrhoeic-dermatitis-3317
1677,Second stage of labor,second-stage-of-labor-3318
1678,Secondarily infected dermatoses,secondarily-infected-dermatoses-3983
1679,Secondary amenorrhoea,secondary-amenorrhoea-3916
1680,Secondary hemorrhage,secondary-hemorrhage-3319
1681,Secondary hyperparathyroidism,secondary-hyperparathyroidism-3320
1682,Secondary skin infections,secondary-skin-infections-3321
1683,Secretory neoplasms,secretory-neoplasms-3322
1684,Sedation,sedation-3323
1685,Seizures,seizures-3803
1686,Seizures associated with lennox-gastaut syndrome,seizures-associated-with-lennox-gastaut-syndrome-3324
1687,Senile lentigines,senile-lentigines-3325
1688,Senile pruritus,senile-pruritus-3816
1689,Sepsis,sepsis-3326
1690,Sepsis gonorrhea,sepsis-gonorrhea-3670
1691,Septic abortion,septic-abortion-3328
1692,Septic arthritis,septic-arthritis-3327
1693,Septicemia,septicemia-3642
1694,Serious staphylococcal or other gram-positive infections,serious-staphylococcal-or-other-gram-positive-infections-3330
1695,Serum sickness,serum-sickness-3331
1696,Severe allergic asthma,severe-allergic-asthma-3334
1697,Severe anxiety disorders,severe-anxiety-disorders-3335
1698,Severe bronchospasm,severe-bronchospasm-4010
1699,Severe burns,severe-burns-3336
1700,Severe congestive heart failure,severe-congestive-heart-failure-3332
1701,Severe diarrhea,severe-diarrhea-3338
1702,Severe erythema multiforme (Stevens-Johnson syndrome),severe-erythema-multiforme-stevens-johnson-syndrome-3339
1703,Severe gram-negative infections,severe-gram-negative-infections-3333
1704,Severe hemorrhage,severe-hemorrhage-3340
1705,Severe hypertension,severe-hypertension-3341
1706,Severe idiopathic short stature,severe-idiopathic-short-stature-3342
1707,Severe inflammatory skin disorders,severe-inflammatory-skin-disorders-3343
1708,Severe metabolic acidosis,severe-metabolic-acidosis-3344
1709,Severe or recurrent respiratory tract infections,severe-or-recurrent-respiratory-tract-infections-3345
1710,Severe Primary Axillary Hyperhidrosis,severe-primary-axillary-hyperhidrosis-3750
1711,Sexual Exposure to an HBsAg-positive Person,sexual-exposure-to-an-hbsag-positive-person-4164
1712,Shift work disorder (SWD),shift-work-disorder-swd-4131
1713,Shigellosis,shigellosis-3347
1714,Shock,shock-3348
1715,Short bowel syndrome,short-bowel-syndrome-3349
1716,Shortness,shortness-4205
1717,Short-term pain relief,short-term-pain-relief-3350
1718,Shoulder pain,shoulder-pain-3923
1719,Sialorrhea,sialorrhea-3351
1720,Sickle-cell disease,sickle-cell-disease-3352
1721,Sinusitis,sinusitis-3353
1722,Sjogrenâ€™s syndrome,sjogrens-syndrome-3354
1723,Skeletal muscle relaxation,skeletal-muscle-relaxation-3355
1724,Skin & nervous system,skin-nervous-system-4038
1725,Skin and skin sructure infections,skin-and-skin-sructure-infections-3357
1726,Skin and soft tissue infections,skin-and-soft-tissue-infections-3956
1727,Skin and wound infections,skin-and-wound-infections-3358
1728,Skin care,skin-care-3360
1729,Skin damage from ultraviolet (UV) light,skin-damage-from-ultraviolet-uv-light-3247
1730,Skin fungal infections,skin-fungal-infections-3361
1731,Skin grafting,skin-grafting-3356
1732,Skin grafts,skin-grafts-4017
1733,Skin healthness,skin-healthness-3362
1734,Skin infections,skin-infections-3363
1735,Skin irritations,skin-irritations-3364
1736,Skin moisturization,skin-moisturization-3366
1737,Skin mycosis (athlete's foot; trichophytia),skin-mycosis-athletes-foot-trichophytia-3682
1738,Skin rash,skin-rash-3367
1739,Skin ulcers and wounds,skin-ulcers-and-wounds-3368
1740,Slit lamp examination,slit-lamp-examination-3369
1741,Sluggishness,sluggishness-4202
1742,Small cell lung cancer,small-cell-lung-cancer-3370
1743,Smoking cessation,smoking-cessation-3371
1744,Smoking cessation aid,smoking-cessation-aid-3372
1745,Smooth muscle spasm of the gastrointestinal disorder,smooth-muscle-spasm-of-the-gastrointestinal-disorder-3967
1746,Sneezing,sneezing-3373
1747,Social anxiety disorder,social-anxiety-disorder-3374
1748,Social phobia,social-phobia-3375
1749,Sodium Chloride deficiency,sodium-chloride-deficiency-4201
1750,Soft tissue infections,soft-tissue-infections-3376
1751,Soft tissue inflammation,soft-tissue-inflammation-3377
1752,Soft tissue sarcoma,soft-tissue-sarcoma-3378
1753,Solar urticaria,solar-urticaria-3379
1754,Solid tumours,solid-tumours-3938
1755,Sore gums,sore-gums-3664
1756,Sore lips,sore-lips-3380
1757,Sore throat,sore-throat-3381
1758,Soreness and discomfort due to hemorrhoids,soreness-and-discomfort-due-to-hemorrhoids-3892
1759,Source of water,source-of-water-3695
1760,Spasm,spasm-3382
1761,Spastic or irritable colon,spastic-or-irritable-colon-3383
1762,Spasticity,spasticity-3384
1763,Spasticity and muscle spasms,spasticity-and-muscle-spasms-3385
1764,Spermatogenesis induction,spermatogenesis-induction-3387
1765,Spinal anesthesia,spinal-anesthesia-3388
1766,Spinal automatism and discopathy,spinal-automatism-and-discopathy-3389
1767,Spondylitis,spondylitis-3391
1768,Spontaneous or elective abortion,spontaneous-or-elective-abortion-3392
1769,Sprains,sprains-3394
1770,Spring catarrh,spring-catarrh-4115
1771,Squamous cell or testicular tumours,squamous-cell-or-testicular-tumours-3395
1772,Stabilize blood sugar,stabilize-blood-sugar-3801
1773,Stable plaque psoriasis,stable-plaque-psoriasis-3396
1774,Staphylococcal infections,staphylococcal-infections-3397
1775,Staphylococcal infections resistant to benzylpenicillin,staphylococcal-infections-resistant-to-benzylpenicillin-3398
1776,Staphylococcal skin infections,staphylococcal-skin-infections-3399
1777,Status asthmaticus,status-asthmaticus-3400
1778,Status epilepticus,status-epilepticus-3401
1779,ST-elevation myocardial infarction (STEMI),st-elevation-myocardial-infarction-stemi-3997
1780,Stent thrombosis,stent-thrombosis-3994
1781,Steroid-responsive inflammatory ocular conditions,steroid-responsive-inflammatory-ocular-conditions-3402
1782,Stevens-Johnson syndrome,stevens-johnson-syndrome-3403
1783,Stiff neck,stiff-neck-3404
1784,Stiffness,stiffness-3405
1785,Stimulate ovulation,stimulate-ovulation-3406
1786,Stimulation of follicle growth,stimulation-of-follicle-growth-4123
1787,Stings,stings-3407
1788,Stomach carcinoma,stomach-carcinoma-3408
1789,Stomach distension,stomach-distension-3409
1790,Stomach upset,stomach-upset-3410
1791,Stomatitis,stomatitis-4074
1792,Stomatitis angularis,stomatitis-angularis-3411
1793,Strabismus,strabismus-3412
1794,Strains,strains-3718
1795,Strength and endurance & immune system,strength-and-endurance-immune-system-3796
1796,Streptococcal pharyngitis,streptococcal-pharyngitis-3413
1797,Streptococcal pharyngitis or tonsillitis,streptococcal-pharyngitis-or-tonsillitis-3414
1798,Streptococcus septicaemia,streptococcus-septicaemia-3415
1799,Stress ulceration of upper Gl,stress-ulceration-of-upper-gl-3804
1800,Stress urinary incontinence,stress-urinary-incontinence-3416
1801,Stridor,stridor-3417
1802,Stroke,stroke-3634
1803,Stroke in patients with hypertension and left ventricular hypertrophy.,stroke-in-patients-with-hypertension-and-left-ventricular-hypertrophy-3867
1804,Stroke prevention,stroke-prevention-3650
1805,Strongyloidiasis,strongyloidiasis-3418
1806,Subacute bacterial endocarditis,subacute-bacterial-endocarditis-3419
1807,Subarachnoid anesthesia,subarachnoid-anesthesia-3420
1808,Subarachnoid haemorrhage,subarachnoid-haemorrhage-3421
1809,Substance abuse disorder,substance-abuse-disorder-3726
1810,Sugar substitute,sugar-substitute-3422
1811,Sunblock,sunblock-3423
1812,Sunburn,sunburn-3424
1813,Superficial bacterial infections,superficial-bacterial-infections-3425
1814,Superficial bleeding,superficial-bleeding-3426
1815,Superficial dermatophyte infections and pityriasis versicolor,superficial-dermatophyte-infections-and-pityriasis-versicolor-3427
1816,Superficial ophthalmic infections,superficial-ophthalmic-infections-3428
1817,Superficial punctate keratitis,superficial-punctate-keratitis-3909
1818,Superficial skin infections,superficial-skin-infections-3429
1819,Superficial wounds,superficial-wounds-3430
1820,Supplement for intravenous nutrition,supplement-for-intravenous-nutrition-4077
1821,Supplement in adrenal insufficiency during minor surgery under general anaesthesia,supplement-in-adrenal-insufficiency-during-minor-surgery-under-general-anaesthesia-3888
1822,Supplement in adrenal insufficiency during moderate or major surgery,supplement-in-adrenal-insufficiency-during-moderate-or-major-surgery-3889
1823,Supports normal prostate function,supports-normal-prostate-function-4194
1824,Suprapubic pain,suprapubic-pain-3431
1825,Supraventricular and ventricular arrhythmias,supraventricular-and-ventricular-arrhythmias-3432
1826,Supraventricular arrhythmias,supraventricular-arrhythmias-3433
1827,Supraventricular tachycardia,supraventricular-tachycardia-3434
1828,Surface anaesthesia,surface-anaesthesia-3436
1829,Surface disinfection,surface-disinfection-3435
1830,Surgery,surgery-3873
1831,Surgery (haemorrhagic shock),surgery-haemorrhagic-shock-3437
1832,Surgical aid in the anterior segment,surgical-aid-in-the-anterior-segment-4022
1833,Surgical anaesthesia,surgical-anaesthesia-3439
1834,Surgical incisions,surgical-incisions-3440
1835,Surgical infections,surgical-infections-3441
1836,Surgical prophylaxis,surgical-prophylaxis-3438
1837,Susceptible infections,susceptible-infections-3444
1838,Suspected glaucoma,suspected-glaucoma-4122
1839,Suspected or confirmed COVID-19,suspected-or-confirmed-covid-19-4197
1840,Sweat rash,sweat-rash-3445
1841,Sweating feet,sweating-feet-3446
1842,Swine flu,swine-flu-3447
1843,Sycosis barbae,sycosis-barbae-4019
1844,Sympathetic nerve block,sympathetic-nerve-block-3448
1845,Syphilis,syphilis-3449
1846,Systemic fungal infections,systemic-fungal-infections-3450
1847,Systemic hyperfibrinolysis,systemic-hyperfibrinolysis-3451
1848,Systemic lupus erythematosus (SLE),systemic-lupus-erythematosus-sle-3452
1849,Systemic sclerosis,systemic-sclerosis-3453
1850,Tachycardia,tachycardia-3458
1851,T-cell lymphoma,t-cell-lymphoma-3454
1852,Teeth cleaner & brighter,teeth-cleaner-brighter-3459
1853,Teeth whitening,teeth-whitening-3460
1854,Teething pain,teething-pain-3461
1855,Tendonitis,tendonitis-3462
1856,Tension,tension-3463
1857,Termination of pregnancy,termination-of-pregnancy-3464
1858,Termination of pregnancy upto 9th week (63 days) of gestation,termination-of-pregnancy-upto-9th-week-63-days-of-gestation-3935
1859,Testicular cancer,testicular-cancer-3465
1860,Testosterone replacement therapy,testosterone-replacement-therapy-3466
1861,Tetanus,tetanus-3467
1862,Thalassaemia,thalassaemia-3469
1863,Therapeutic dilution of blood,therapeutic-dilution-of-blood-3978
1864,Thiamine and riboflavin deficiency,thiamine-and-riboflavin-deficiency-3470
1865,Thiamine deficiency,thiamine-deficiency-4045
1866,Third stage of labour,third-stage-of-labour-3471
1867,Threatened abortion,threatened-abortion-4126
1868,Threatened miscarriage,threatened-miscarriage-3472
1869,Threatened premature delivery,threatened-premature-delivery-4128
1870,Throat infections,throat-infections-3473
1871,Thromboembolic disorders,thromboembolic-disorders-3474
1872,Thromboembolism,thromboembolism-3475
1873,Thrombotic cardiovascular (CV) events,thrombotic-cardiovascular-cv-events-3993
1874,Thrush,thrush-3476
1875,Thyroid cancer,thyroid-cancer-4144
1876,Thyroid storm,thyroid-storm-3478
1877,Thyrotoxicosis,thyrotoxicosis-3479
1878,Tic disorders,tic-disorders-3480
1879,Tinea (pityriasis) versicolor,tinea-pityriasis-versicolor-3481
1880,Tinea corporis (ringworm),tinea-corporis-ringworm-3482
1881,Tinea cruris (jock itch),tinea-cruris-jock-itch-3483
1882,Tinea pedis (athleteâ€™s foot),tinea-pedis-athletes-foot-3484
1883,Tinea versicolor,tinea-versicolor-3683
1884,Tinnitus,tinnitus-3485
1885,To develop immune system,to-develop-immune-system-4028
1886,To prevent scurvey; beriberi; pellagra and others,to-prevent-scurvey-beriberi-pellagra-and-others-4029
1887,To reduce the need for allogenic blood tranfusion,to-reduce-the-need-for-allogenic-blood-tranfusion-3486
1888,Tonic-clonic status epilepticus,tonic-clonic-status-epilepticus-3487
1889,Tonometry,tonometry-4003
1890,Tonsillitis,tonsillitis-3488
1891,Tooth extraction,tooth-extraction-3489
1892,Toothache,toothache-3490
1893,Topical anesthesia,topical-anesthesia-3491
1894,Topical antiseptic,topical-antiseptic-3853
1895,Total or partial gastrectomy,total-or-partial-gastrectomy-3492
1896,Tourette syndrome,tourette-syndrome-3493
1897,Toxaemia,toxaemia-3779
1898,Toxic shock syndrome,toxic-shock-syndrome-3731
1899,Toxocariasis,toxocariasis-3494
1900,Toxoplasmosis,toxoplasmosis-3495
1901,Tracheolaryngitis,tracheolaryngitis-3496
1902,Tracheostomy care during anaesthesia.,tracheostomy-care-during-anaesthesia-3625
1903,Trachoma,trachoma-3497
1904,Tranquilizer overdoses,tranquilizer-overdoses-3498
1905,Transfusion reactions,transfusion-reactions-3499
1906,Transient ischemic attack,transient-ischemic-attack-3456
1907,Transurethral prostatic resection,transurethral-prostatic-resection-3501
1908,Trauma,trauma-3874
1909,Traumatic hyphema,traumatic-hyphema-3502
1910,Travellerâ€™s diarrhea,travellers-diarrhea-3503
1911,Treat and prevent chronic diseases like heart diseases; rheumatoid arthritis; COPD and cancer,treat-and-prevent-chronic-diseases-like-heart-diseases-rheumatoid-arthritis-copd-and-cancer-4071
1912,Treatment and prophylaxis of mild chronic thiamine deficiency,treatment-and-prophylaxis-of-mild-chronic-thiamine-deficiency-4046
1913,Treatment or shock states,treatment-or-shock-states-3929
1914,Trichinellosis,trichinellosis-3505
1915,Trichinosis,trichinosis-3506
1916,Trichomoniasis,trichomoniasis-3507
1917,Trichostrongyliasis,trichostrongyliasis-3508
1918,Trichotillomania,trichotillomania-3509
1919,Trichuriasis,trichuriasis-3510
1920,Trigeminal neuralgia,trigeminal-neuralgia-3511
1921,Trophoblastic neoplasms,trophoblastic-neoplasms-3512
1922,TSH suppression,tsh-suppression-3457
1923,Tuberculosis,tuberculosis-3513
1924,Tuberculous meningitis,tuberculous-meningitis-3514
1925,Tuberous sclerosis,tuberous-sclerosis-3515
1926,Tularaemia,tularaemia-3516
1927,Tumor lysis syndrome,tumor-lysis-syndrome-3517
1928,tympanoplasty,tympanoplasty-4143
1929,Type 1 DM,type-1-dm-3518
1930,Type 2 DM,type-2-dm-3519
1931,Typhoid fever,typhoid-fever-3520
1932,Ulcer resistant to H2 receptor antagonists,ulcer-resistant-to-h2-receptor-antagonists-3971
1933,Ulcerative colitis,ulcerative-colitis-3523
1934,Ulcerative Proctitis,ulcerative-proctitis-3624
1935,Ulcers,ulcers-3524
1936,Uncomplicated cystitis,uncomplicated-cystitis-3526
1937,Uncomplicated gonorrhoea,uncomplicated-gonorrhoea-3527
1938,Uncomplicated pneumococcal pneumonia,uncomplicated-pneumococcal-pneumonia-3528
1939,Uncomplicated premature labour,uncomplicated-premature-labour-3529
1940,Uncomplicated skin infections,uncomplicated-skin-infections-3530
1941,Uncomplicated UTI,uncomplicated-uti-3525
1942,Unipolar and bipolar depression,unipolar-and-bipolar-depression-3531
1943,Unstable angina,unstable-angina-3533
1944,Unstable tear film,unstable-tear-film-3900
1945,Upper and lower respiratory tract infections,upper-and-lower-respiratory-tract-infections-3535
1946,Upper gastrointestinal haemorrhage,upper-gastrointestinal-haemorrhage-3536
1947,Upper Gl bloating,upper-gl-bloating-3534
1948,Urethritis,urethritis-3537
1949,Urge incontinence,urge-incontinence-3538
1950,Uric acid nephropathy,uric-acid-nephropathy-3539
1951,Urinary frequency and urgency,urinary-frequency-and-urgency-3541
1952,Urinary incontinence,urinary-incontinence-3542
1953,Urinary tract infection,urinary-tract-infection-3543
1954,Urine alkalinisation,urine-alkalinisation-3544
1955,Urothelial bladder carcinoma,urothelial-bladder-carcinoma-3545
1956,Urothelial toxicity,urothelial-toxicity-3546
1957,Urticaria,urticaria-3547
1958,Uterine atony,uterine-atony-3548
1959,Uterine bleeding,uterine-bleeding-3549
1960,Uterine fibroids,uterine-fibroids-3550
1961,Uterine hemorrhage,uterine-hemorrhage-3551
1962,UTI caused by Staphylococcus Aureus,uti-caused-by-staphylococcus-aureus-3540
1963,Uveal tract inflammation,uveal-tract-inflammation-3552
1964,Uveitis,uveitis-3553
1965,Vaginal atrophy,vaginal-atrophy-3554
1966,Vaginal candidiasis or thrush,vaginal-candidiasis-or-thrush-3555
1967,Vaginal dryness,vaginal-dryness-3556
1968,Vaginal leucorrhoea,vaginal-leucorrhoea-3557
1969,Vaginal or rectal irritation,vaginal-or-rectal-irritation-3558
1970,Vaginal thrush,vaginal-thrush-3807
1971,Vaginal trichomoniasis,vaginal-trichomoniasis-3559
1972,Vaginitis,vaginitis-3560
1973,Variceal haemorrhage,variceal-haemorrhage-3561
1974,Varicella infection,varicella-infection-3562
1975,Varicella zoster (chickenpox),varicella-zoster-chickenpox-3563
1976,Varicose ulcers,varicose-ulcers-4016
1977,Vascular complications (e. g.; atherosclerosis),vascular-complications-e-g-atherosclerosis-3754
1978,Vasculitis,vasculitis-3564
1979,Vasomotor rhinitis,vasomotor-rhinitis-3661
1980,Venous thromboembolism,venous-thromboembolism-3565
1981,Venous thrombosis,venous-thrombosis-3566
1982,Ventricular arrhythmias,ventricular-arrhythmias-3567
1983,Ventricular fibrillation,ventricular-fibrillation-3568
1984,Ventricular tachycardia,ventricular-tachycardia-3570
1985,Verruca,verruca-3572
1986,Vertigo,vertigo-3573
1987,Vertigo and vestibular disorders,vertigo-and-vestibular-disorders-3574
1988,Vestibular and visual disorders of ischaemic aetiology,vestibular-and-visual-disorders-of-ischaemic-aetiology-3633
1989,Vestibular disorders,vestibular-disorders-3576
1990,Vestibular neuritis,vestibular-neuritis-3577
1991,Vincentâ€™s infection,vincents-infection-3578
1992,Viral conjunctivitis,viral-conjunctivitis-3947
1993,Visceral leishmaniasis,visceral-leishmaniasis-4116
1994,Visceral muscle spasm,visceral-muscle-spasm-3579
1995,Visceral spasms,visceral-spasms-3580
1996,Vitamin A deficiency,vitamin-a-deficiency-3581
1997,Vitamin B deficiencies,vitamin-b-deficiencies-3583
1998,Vitamin B;Vitamin-C and Folic acid deficiencies,vitamin-bvitamin-c-and-folic-acid-deficiencies-3845
1999,Vitamin B1 deficiency,vitamin-b1-deficiency-4079
2000,Vitamin B12 deficiency,vitamin-b12-deficiency-3584
2001,Vitamin B6 deficiency,vitamin-b6-deficiency-3585
2002,Vitamin C deficiency,vitamin-c-deficiency-3592
2003,Vitamin D deficiency,vitamin-d-deficiency-3586
2004,Vitamin deficiency,vitamin-deficiency-3591
2005,Vitamin E deficiency and peripheral neuropathy,vitamin-e-deficiency-and-peripheral-neuropathy-3588
2006,Vitamin K deficiency,vitamin-k-deficiency-3589
2007,Vitamin K deficiency bleeding,vitamin-k-deficiency-bleeding-3590
2008,Vitamin or mineral deficiency,vitamin-or-mineral-deficiency-3593
2009,Vitamin or mineral deficiency during pregnancy and lactation,vitamin-or-mineral-deficiency-during-pregnancy-and-lactation-3594
2010,Vitamin or mineral supplement,vitamin-or-mineral-supplement-3595
2011,Vitamins B and Zinc deficiencies,vitamins-b-and-zinc-deficiencies-4078
2012,Vitiligo,vitiligo-3596
2013,Vomiting,vomiting-3597
2014,Vulvovaginal candidiasis,vulvovaginal-candidiasis-3598
2015,WaldenstrÃ¶m's macroglobulinemia,waldenstrÃ¶ms-macroglobulinemia-4140
2016,Waldenstrom's macroglobulinaemia,waldenstroms-macroglobulinaemia-3714
2017,Warts,warts-3734
2018,Water disinfection,water-disinfection-3599
2019,Water purification,water-purification-3600
2020,Watery eye,watery-eye-3602
2021,Weight gain and calcium retention,weight-gain-and-calcium-retention-3959
2022,Wernicke-Korsakoff syndrome,wernicke-korsakoff-syndrome-4047
2023,Wet age-related macular degeneration,wet-age-related-macular-degeneration-3603
2024,Wheezing,wheezing-3604
2025,Whippleâ€™s disease,whipples-disease-3605
2026,Whooping cough,whooping-cough-3689
2027,Wilm's tumour,wilms-tumour-4063
2028,Wiskott-Aldrich syndrome,wiskott-aldrich-syndrome-3606
2029,With percutaneous coronary intervention or coronary artery bypass graft,with-percutaneous-coronary-intervention-or-coronary-artery-bypass-graft-4050
2030,Worm infections,worm-infections-3607
2031,Wound and burn dressing,wound-and-burn-dressing-3608
2032,Wound and ulcer cleansing,wound-and-ulcer-cleansing-3609
2033,Wound cleansing,wound-cleansing-3610
2034,Wound debribement and suturing,wound-debribement-and-suturing-3611
2035,Wound infection,wound-infection-3613
2036,Wound sepsis,wound-sepsis-3614
2037,Wounds,wounds-3615
2038,Xerophthalmia,xerophthalmia-3617
2039,X-ray imaging,x-ray-imaging-3616
2040,Yellow fever infection,yellow-fever-infection-3619
2041,Zinc & folic acid deficiency,zinc-folic-acid-deficiency-3620
2042,Zinc deficiency,zinc-deficiency-3621
2043,Zollinger-Ellison syndrome,zollinger-ellison-syndrome-3622
