Manufacturer_ID,Manufacturer_Name,Slug
168,Organon,organon-284
169,Orion Corporation; Finland,orion-corporation-finland-317
170,Orion Infusion Ltd.,orion-infusion-ltd-173
171,Orion Pharma Ltd.,orion-pharma-ltd-58
172,Oyster Pharmaceuticals Ltd.,oyster-pharmaceuticals-ltd-118
173,Pacific Pharmaceuticals Ltd.,pacific-pharmaceuticals-ltd-145
174,Peoples Pharma Ltd.,peoples-pharma-ltd-59
175,Pfizer,pfizer-175
176,Pharma Resources,pharma-resources-339
177,Pharmachemie BV,pharmachemie-bv-141
178,Pharmacil Limited,pharmacil-limited-195
179,Pharmadesh Laboratories Ltd.,pharmadesh-laboratories-ltd-60
180,Pharmasia Limited,pharmasia-limited-112
181,Pharmik Laboratories Ltd.,pharmik-laboratories-ltd-202
182,Phoenix Chemical Laboratory,phoenix-chemical-laboratory-262
183,Piramal Critical Care; USA,piramal-critical-care-usa-299
184,Piramal Enterprises Ltd.,piramal-enterprises-ltd-314
185,Popular Pharmaceuticals Ltd.,popular-pharmaceuticals-ltd-87
186,Premier Pharmaceuticals Ltd.,premier-pharmaceuticals-ltd-201
187,Prime Pharmaceuticals Ltd.,prime-pharmaceuticals-ltd-88
188,Purnava Limited,purnava-limited-280
189,Quality Pharmaceuticals Ltd.,quality-pharmaceuticals-ltd-253
190,Radiant Nutraceuticals Ltd.,radiant-nutraceuticals-ltd-331
191,Radiant Pharmaceuticals Ltd.,radiant-pharmaceuticals-ltd-62
192,Rangs Pharmaceuticals Ltd.,rangs-pharmaceuticals-ltd-147
193,Reckitt & Benckiser Ltd.,reckitt-benckiser-ltd-161
194,Reliance Pharmaceuticals Ltd.,reliance-pharmaceuticals-ltd-130
195,Reman Drug Laboratories Ltd.,reman-drug-laboratories-ltd-63
196,Renata Limited,renata-limited-64
197,Rephco Pharmaceuticals Ltd.,rephco-pharmaceuticals-ltd-66
198,River Pharma,river-pharma-338
199,RN Pharmaceuticals,rn-pharmaceuticals-259
200,Roche Bangladesh Ltd.,roche-bangladesh-ltd-67
201,Rotexmedica GmbH; Germany,rotexmedica-gmbh-germany-325
202,Royal Pharmaceutical Ltd.,royal-pharmaceutical-ltd-335
203,S.A. Alcon-Couvreur N.V.,sa-alcon-couvreur-nv-323
204,S.N. Pharmaceutical Ltd.,sn-pharmaceutical-ltd-135
205,Salton Pharmaceuticals Ltd.,salton-pharmaceuticals-ltd-68
206,SANDOZ (A Novartis Division),sandoz-a-novartis-division-168
207,Seema Pharmaceuticals Ltd.,seema-pharmaceuticals-ltd-69
208,Serum Institute of India,serum-institute-of-india-294
209,Servier Bangladesh Operation,servier-bangladesh-operation-172
210,Sharif Pharmaceuticals Ltd.,sharif-pharmaceuticals-ltd-90
211,Silco Pharmaceutical Ltd.,silco-pharmaceutical-ltd-159
212,Silva Pharmaceuticals Ltd.,silva-pharmaceuticals-ltd-94
213,Skylab Pharmaceuticals Ltd.,skylab-pharmaceuticals-ltd-70
214,Social Marketing Company,social-marketing-company-216
215,Somatec Pharmaceuticals Ltd.,somatec-pharmaceuticals-ltd-125
216,Sonear Laboratories Ltd.,sonear-laboratories-ltd-72
217,Square Pharmaceuticals Ltd.,square-pharmaceuticals-ltd-73
218,Stiefel Laboratories Ltd.,stiefel-laboratories-ltd-210
219,Sun Pharmaceutical Ltd.,sun-pharmaceutical-ltd-139
220,Sunman-Birdem Pharma Ltd.,sunman-birdem-pharma-ltd-256
221,Supreme Pharmaceutical Ltd.,supreme-pharmaceutical-ltd-138
222,Synovia pharma plc,synovia-pharma-plc-89
223,Syntho Laboratories Ltd.,syntho-laboratories-ltd-134
224,Team Pharmaceuticals Ltd.,team-pharmaceuticals-ltd-255
225,Techno Drugs Ltd.,techno-drugs-ltd-95
226,The White Horse Pharma,the-white-horse-pharma-96
227,Total Natural Company,total-natural-company-316
228,Ultra Pharma Ltd.,ultra-pharma-ltd-97
229,UniMed UniHealth,unimed-unihealth-77
230,Unique Pharmaceuticals Ltd.,unique-pharmaceuticals-ltd-204
231,United Pharmaceuticals Ltd.,united-pharmaceuticals-ltd-142
232,Valneva,valneva-286
233,Veritas Pharmaceuticals Ltd.,veritas-pharmaceuticals-ltd-126
234,Vifor International Ltd.,vifor-international-ltd-214
235,Virgo Pharmaceuticals Ltd.,virgo-pharmaceuticals-ltd-158
236,West-Coast pharmaceutical works ltd.,west-coast-pharmaceutical-works-ltd-303
237,Xellia Pharmaceuticals; Denmark,xellia-pharmaceuticals-denmark-321
238,ZAS Corporation,zas-corporation-257
239,Zenith Pharmaceuticals Ltd.,zenith-pharmaceuticals-ltd-98
240,Ziska Pharmaceuticals Ltd.,ziska-pharmaceuticals-ltd-79
